Season,Region,County,CDC Week,Week Ending Date,Age Group,Case Count,Hospitalization Count,Coordinate,FIPS
2023-2024,WESTERN,ALLEGANY,44,11/04/2023,18-49,3,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,45,11/11/2023,18-49,1,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,46,11/18/2023,18-49,1,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,48,12/02/2023,5-17,3,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,48,12/02/2023,18-49,3,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,49,12/09/2023,0-4,3,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,49,12/09/2023,5-17,1,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,49,12/09/2023,18-49,7,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,49,12/09/2023,50-64,1,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,49,12/09/2023,65+,2,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,50,12/16/2023,0-4,2,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,50,12/16/2023,5-17,5,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,50,12/16/2023,18-49,7,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,50,12/16/2023,50-64,1,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,50,12/16/2023,65+,4,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,51,12/23/2023,0-4,4,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,51,12/23/2023,5-17,7,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,51,12/23/2023,18-49,6,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,51,12/23/2023,50-64,6,2,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,51,12/23/2023,65+,10,2,"(42.2478938, -78.0261758)",36003
