Season,Region,County,CDC Week,Week Ending Date,Age Group,Case Count,Hospitalization Count,Coordinate,FIPS
2023-2024,WESTERN,ERIE,49,12/09/2023,18-49,117,8,"(42.752759, -78.7781922)",36029
2023-2024,WESTERN,ERIE,49,12/09/2023,50-64,62,17,"(42.752759, -78.7781922)",36029
2023-2024,WESTERN,ERIE,49,12/09/2023,65+,48,24,"(42.752759, -78.7781922)",36029
2023-2024,WESTERN,ERIE,50,12/16/2023,0-4,114,6,"(42.752759, -78.7781922)",36029
2023-2024,WESTERN,ERIE,50,12/16/2023,5-17,214,7,"(42.752759, -78.7781922)",36029
2023-2024,WESTERN,ERIE,50,12/16/2023,18-49,163,11,"(42.752759, -78.7781922)",36029
2023-2024,WESTERN,ERIE,50,12/16/2023,50-64,78,17,"(42.752759, -78.7781922)",36029
2023-2024,WESTERN,ERIE,50,12/16/2023,65+,51,30,"(42.752759, -78.7781922)",36029
2023-2024,WESTERN,ERIE,51,12/23/2023,0-4,136,7,"(42.752759, -78.7781922)",36029
2023-2024,WESTERN,ERIE,51,12/23/2023,5-17,202,7,"(42.752759, -78.7781922)",36029
2023-2024,WESTERN,ERIE,51,12/23/2023,18-49,184,17,"(42.752759, -78.7781922)",36029
2023-2024,WESTERN,ERIE,51,12/23/2023,50-64,88,26,"(42.752759, -78.7781922)",36029
2023-2024,WESTERN,ERIE,51,12/23/2023,65+,80,32,"(42.752759, -78.7781922)",36029
2023-2024,WESTERN,ERIE,52,12/30/2023,0-4,97,8,"(42.752759, -78.7781922)",36029
2023-2024,WESTERN,ERIE,52,12/30/2023,5-17,134,12,"(42.752759, -78.7781922)",36029
2023-2024,WESTERN,ERIE,52,12/30/2023,18-49,199,14,"(42.752759, -78.7781922)",36029
2023-2024,WESTERN,ERIE,52,12/30/2023,50-64,91,18,"(42.752759, -78.7781922)",36029
2023-2024,WESTERN,ERIE,52,12/30/2023,65+,96,41,"(42.752759, -78.7781922)",36029
2023-2024,CAPITAL DISTRICT,ESSEX,40,10/07/2023,18-49,2,0,"(44.1089711, -73.7775726)",36031
2023-2024,CAPITAL DISTRICT,ESSEX,40,10/07/2023,50-64,1,0,"(44.1089711, -73.7775726)",36031
2023-2024,CAPITAL DISTRICT,ESSEX,42,10/21/2023,5-17,2,0,"(44.1089711, -73.7775726)",36031
2023-2024,CAPITAL DISTRICT,ESSEX,42,10/21/2023,18-49,2,0,"(44.1089711, -73.7775726)",36031
2023-2024,CAPITAL DISTRICT,ESSEX,42,10/21/2023,65+,1,0,"(44.1089711, -73.7775726)",36031
2023-2024,CAPITAL DISTRICT,ESSEX,43,10/28/2023,0-4,2,0,"(44.1089711, -73.7775726)",36031
2023-2024,CAPITAL DISTRICT,ESSEX,43,10/28/2023,5-17,3,0,"(44.1089711, -73.7775726)",36031
2023-2024,CAPITAL DISTRICT,ESSEX,43,10/28/2023,18-49,1,0,"(44.1089711, -73.7775726)",36031
2023-2024,CAPITAL DISTRICT,ESSEX,43,10/28/2023,65+,1,0,"(44.1089711, -73.7775726)",36031
2023-2024,CAPITAL DISTRICT,ESSEX,44,11/04/2023,0-4,1,0,"(44.1089711, -73.7775726)",36031
2023-2024,CAPITAL DISTRICT,ESSEX,44,11/04/2023,5-17,4,0,"(44.1089711, -73.7775726)",36031
2023-2024,CAPITAL DISTRICT,ESSEX,44,11/04/2023,18-49,2,0,"(44.1089711, -73.7775726)",36031
2023-2024,CAPITAL DISTRICT,ESSEX,44,11/04/2023,50-64,1,0,"(44.1089711, -73.7775726)",36031
2023-2024,CAPITAL DISTRICT,ESSEX,44,11/04/2023,65+,1,0,"(44.1089711, -73.7775726)",36031
2023-2024,CAPITAL DISTRICT,ESSEX,45,11/11/2023,5-17,1,0,"(44.1089711, -73.7775726)",36031
2023-2024,CAPITAL DISTRICT,ESSEX,45,11/11/2023,50-64,2,0,"(44.1089711, -73.7775726)",36031
2023-2024,CAPITAL DISTRICT,ESSEX,46,11/18/2023,0-4,1,0,"(44.1089711, -73.7775726)",36031
2023-2024,CAPITAL DISTRICT,ESSEX,46,11/18/2023,5-17,3,0,"(44.1089711, -73.7775726)",36031
2023-2024,CAPITAL DISTRICT,ESSEX,46,11/18/2023,18-49,1,0,"(44.1089711, -73.7775726)",36031
2023-2024,CAPITAL DISTRICT,ESSEX,46,11/18/2023,65+,1,0,"(44.1089711, -73.7775726)",36031
2023-2024,CAPITAL DISTRICT,ESSEX,47,11/25/2023,0-4,1,0,"(44.1089711, -73.7775726)",36031
2023-2024,CAPITAL DISTRICT,ESSEX,47,11/25/2023,50-64,1,0,"(44.1089711, -73.7775726)",36031
2023-2024,CAPITAL DISTRICT,ESSEX,47,11/25/2023,65+,1,0,"(44.1089711, -73.7775726)",36031
2023-2024,CAPITAL DISTRICT,ESSEX,48,12/02/2023,5-17,1,0,"(44.1089711, -73.7775726)",36031
2023-2024,CAPITAL DISTRICT,ESSEX,48,12/02/2023,18-49,3,0,"(44.1089711, -73.7775726)",36031
2023-2024,CAPITAL DISTRICT,ESSEX,48,12/02/2023,50-64,2,0,"(44.1089711, -73.7775726)",36031
2023-2024,CAPITAL DISTRICT,ESSEX,48,12/02/2023,65+,4,0,"(44.1089711, -73.7775726)",36031
2023-2024,CAPITAL DISTRICT,ESSEX,49,12/09/2023,18-49,5,0,"(44.1089711, -73.7775726)",36031
2023-2024,CAPITAL DISTRICT,ESSEX,49,12/09/2023,50-64,3,0,"(44.1089711, -73.7775726)",36031
2023-2024,CAPITAL DISTRICT,ESSEX,49,12/09/2023,65+,5,1,"(44.1089711, -73.7775726)",36031
2023-2024,CAPITAL DISTRICT,ESSEX,50,12/16/2023,0-4,17,0,"(44.1089711, -73.7775726)",36031
2023-2024,CAPITAL DISTRICT,ESSEX,50,12/16/2023,5-17,10,0,"(44.1089711, -73.7775726)",36031
2023-2024,CAPITAL DISTRICT,ESSEX,50,12/16/2023,18-49,28,1,"(44.1089711, -73.7775726)",36031
2023-2024,CAPITAL DISTRICT,ESSEX,50,12/16/2023,50-64,15,0,"(44.1089711, -73.7775726)",36031
2023-2024,CAPITAL DISTRICT,ESSEX,50,12/16/2023,65+,23,2,"(44.1089711, -73.7775726)",36031
2023-2024,CAPITAL DISTRICT,ESSEX,51,12/23/2023,0-4,7,0,"(44.1089711, -73.7775726)",36031
2023-2024,CAPITAL DISTRICT,ESSEX,51,12/23/2023,5-17,21,0,"(44.1089711, -73.7775726)",36031
2023-2024,CAPITAL DISTRICT,ESSEX,51,12/23/2023,18-49,19,0,"(44.1089711, -73.7775726)",36031
2023-2024,CAPITAL DISTRICT,ESSEX,51,12/23/2023,50-64,7,0,"(44.1089711, -73.7775726)",36031
2023-2024,CAPITAL DISTRICT,ESSEX,51,12/23/2023,65+,8,0,"(44.1089711, -73.7775726)",36031
2023-2024,CAPITAL DISTRICT,ESSEX,52,12/30/2023,0-4,9,0,"(44.1089711, -73.7775726)",36031
2023-2024,CAPITAL DISTRICT,ESSEX,52,12/30/2023,5-17,8,0,"(44.1089711, -73.7775726)",36031
2023-2024,CAPITAL DISTRICT,ESSEX,52,12/30/2023,18-49,11,1,"(44.1089711, -73.7775726)",36031
2023-2024,CAPITAL DISTRICT,ESSEX,52,12/30/2023,50-64,6,0,"(44.1089711, -73.7775726)",36031
2023-2024,CAPITAL DISTRICT,ESSEX,52,12/30/2023,65+,4,1,"(44.1089711, -73.7775726)",36031
2023-2024,CAPITAL DISTRICT,FRANKLIN,40,10/07/2023,0-4,1,0,"(44.5943743, -74.3106698)",36033
2023-2024,CAPITAL DISTRICT,FRANKLIN,41,10/14/2023,18-49,1,0,"(44.5943743, -74.3106698)",36033
2023-2024,CAPITAL DISTRICT,FRANKLIN,44,11/04/2023,50-64,2,0,"(44.5943743, -74.3106698)",36033
2023-2024,CAPITAL DISTRICT,FRANKLIN,46,11/18/2023,5-17,1,0,"(44.5943743, -74.3106698)",36033
2023-2024,CAPITAL DISTRICT,FRANKLIN,47,11/25/2023,0-4,1,0,"(44.5943743, -74.3106698)",36033
2023-2024,CAPITAL DISTRICT,FRANKLIN,47,11/25/2023,18-49,1,0,"(44.5943743, -74.3106698)",36033
2023-2024,CAPITAL DISTRICT,FRANKLIN,47,11/25/2023,50-64,1,0,"(44.5943743, -74.3106698)",36033
2023-2024,CAPITAL DISTRICT,FRANKLIN,48,12/02/2023,0-4,1,0,"(44.5943743, -74.3106698)",36033
2023-2024,CAPITAL DISTRICT,FRANKLIN,48,12/02/2023,5-17,1,0,"(44.5943743, -74.3106698)",36033
2023-2024,CAPITAL DISTRICT,FRANKLIN,48,12/02/2023,65+,1,0,"(44.5943743, -74.3106698)",36033
2023-2024,CAPITAL DISTRICT,FRANKLIN,49,12/09/2023,0-4,2,0,"(44.5943743, -74.3106698)",36033
2023-2024,CAPITAL DISTRICT,FRANKLIN,49,12/09/2023,5-17,2,0,"(44.5943743, -74.3106698)",36033
2023-2024,CAPITAL DISTRICT,FRANKLIN,49,12/09/2023,18-49,2,0,"(44.5943743, -74.3106698)",36033
2023-2024,CAPITAL DISTRICT,FRANKLIN,49,12/09/2023,50-64,2,0,"(44.5943743, -74.3106698)",36033
2023-2024,CAPITAL DISTRICT,FRANKLIN,50,12/16/2023,0-4,3,0,"(44.5943743, -74.3106698)",36033
2023-2024,CAPITAL DISTRICT,FRANKLIN,50,12/16/2023,5-17,12,0,"(44.5943743, -74.3106698)",36033
2023-2024,CAPITAL DISTRICT,FRANKLIN,50,12/16/2023,18-49,4,0,"(44.5943743, -74.3106698)",36033
2023-2024,CAPITAL DISTRICT,FRANKLIN,50,12/16/2023,50-64,4,0,"(44.5943743, -74.3106698)",36033
2023-2024,CAPITAL DISTRICT,FRANKLIN,50,12/16/2023,65+,1,0,"(44.5943743, -74.3106698)",36033
2023-2024,CAPITAL DISTRICT,FRANKLIN,51,12/23/2023,0-4,4,0,"(44.5943743, -74.3106698)",36033
2023-2024,CAPITAL DISTRICT,FRANKLIN,51,12/23/2023,5-17,5,0,"(44.5943743, -74.3106698)",36033
2023-2024,CAPITAL DISTRICT,FRANKLIN,51,12/23/2023,18-49,4,0,"(44.5943743, -74.3106698)",36033
2023-2024,CAPITAL DISTRICT,FRANKLIN,51,12/23/2023,50-64,5,0,"(44.5943743, -74.3106698)",36033
2023-2024,CAPITAL DISTRICT,FRANKLIN,51,12/23/2023,65+,3,1,"(44.5943743, -74.3106698)",36033
2023-2024,CAPITAL DISTRICT,FRANKLIN,52,12/30/2023,0-4,3,0,"(44.5943743, -74.3106698)",36033
2023-2024,CAPITAL DISTRICT,FRANKLIN,52,12/30/2023,5-17,8,0,"(44.5943743, -74.3106698)",36033
2023-2024,CAPITAL DISTRICT,FRANKLIN,52,12/30/2023,18-49,6,1,"(44.5943743, -74.3106698)",36033
2023-2024,CAPITAL DISTRICT,FRANKLIN,52,12/30/2023,50-64,5,0,"(44.5943743, -74.3106698)",36033
2023-2024,CAPITAL DISTRICT,FRANKLIN,52,12/30/2023,65+,7,3,"(44.5943743, -74.3106698)",36033
2023-2024,CAPITAL DISTRICT,FULTON,45,11/11/2023,50-64,1,0,"(43.1156093, -74.4236782)",36035
2023-2024,CAPITAL DISTRICT,FULTON,46,11/18/2023,0-4,1,0,"(43.1156093, -74.4236782)",36035
2023-2024,CAPITAL DISTRICT,FULTON,46,11/18/2023,5-17,2,0,"(43.1156093, -74.4236782)",36035
2023-2024,CAPITAL DISTRICT,FULTON,46,11/18/2023,18-49,1,0,"(43.1156093, -74.4236782)",36035
2023-2024,CAPITAL DISTRICT,FULTON,46,11/18/2023,50-64,2,0,"(43.1156093, -74.4236782)",36035
2023-2024,CAPITAL DISTRICT,FULTON,46,11/18/2023,65+,5,0,"(43.1156093, -74.4236782)",36035
2023-2024,CAPITAL DISTRICT,FULTON,47,11/25/2023,0-4,1,0,"(43.1156093, -74.4236782)",36035
2023-2024,CAPITAL DISTRICT,FULTON,47,11/25/2023,5-17,1,0,"(43.1156093, -74.4236782)",36035
2023-2024,CAPITAL DISTRICT,FULTON,47,11/25/2023,18-49,7,0,"(43.1156093, -74.4236782)",36035
2023-2024,CAPITAL DISTRICT,FULTON,47,11/25/2023,50-64,5,0,"(43.1156093, -74.4236782)",36035
2023-2024,CAPITAL DISTRICT,FULTON,47,11/25/2023,65+,7,0,"(43.1156093, -74.4236782)",36035
2023-2024,CAPITAL DISTRICT,FULTON,48,12/02/2023,0-4,3,0,"(43.1156093, -74.4236782)",36035
2023-2024,CAPITAL DISTRICT,FULTON,48,12/02/2023,5-17,1,0,"(43.1156093, -74.4236782)",36035
2023-2024,CAPITAL DISTRICT,FULTON,48,12/02/2023,18-49,5,0,"(43.1156093, -74.4236782)",36035
2023-2024,CAPITAL DISTRICT,FULTON,48,12/02/2023,50-64,5,0,"(43.1156093, -74.4236782)",36035
2023-2024,CAPITAL DISTRICT,FULTON,48,12/02/2023,65+,5,0,"(43.1156093, -74.4236782)",36035
2023-2024,CAPITAL DISTRICT,FULTON,49,12/09/2023,0-4,1,0,"(43.1156093, -74.4236782)",36035
2023-2024,CAPITAL DISTRICT,FULTON,49,12/09/2023,5-17,9,0,"(43.1156093, -74.4236782)",36035
2023-2024,CAPITAL DISTRICT,FULTON,49,12/09/2023,18-49,4,0,"(43.1156093, -74.4236782)",36035
2023-2024,CAPITAL DISTRICT,FULTON,49,12/09/2023,50-64,3,0,"(43.1156093, -74.4236782)",36035
2023-2024,CAPITAL DISTRICT,FULTON,49,12/09/2023,65+,3,0,"(43.1156093, -74.4236782)",36035
2023-2024,CAPITAL DISTRICT,FULTON,50,12/16/2023,0-4,2,0,"(43.1156093, -74.4236782)",36035
2023-2024,CAPITAL DISTRICT,FULTON,50,12/16/2023,5-17,8,0,"(43.1156093, -74.4236782)",36035
2023-2024,CAPITAL DISTRICT,FULTON,50,12/16/2023,18-49,18,0,"(43.1156093, -74.4236782)",36035
2023-2024,CAPITAL DISTRICT,FULTON,50,12/16/2023,50-64,7,0,"(43.1156093, -74.4236782)",36035
2023-2024,CAPITAL DISTRICT,FULTON,50,12/16/2023,65+,4,1,"(43.1156093, -74.4236782)",36035
2023-2024,CAPITAL DISTRICT,FULTON,51,12/23/2023,0-4,4,0,"(43.1156093, -74.4236782)",36035
2023-2024,CAPITAL DISTRICT,FULTON,51,12/23/2023,5-17,9,0,"(43.1156093, -74.4236782)",36035
2023-2024,CAPITAL DISTRICT,FULTON,51,12/23/2023,18-49,27,0,"(43.1156093, -74.4236782)",36035
2023-2024,CAPITAL DISTRICT,FULTON,51,12/23/2023,50-64,8,0,"(43.1156093, -74.4236782)",36035
2023-2024,CAPITAL DISTRICT,FULTON,51,12/23/2023,65+,4,1,"(43.1156093, -74.4236782)",36035
2023-2024,CAPITAL DISTRICT,FULTON,52,12/30/2023,0-4,5,0,"(43.1156093, -74.4236782)",36035
2023-2024,CAPITAL DISTRICT,FULTON,52,12/30/2023,5-17,9,0,"(43.1156093, -74.4236782)",36035
2023-2024,CAPITAL DISTRICT,FULTON,52,12/30/2023,18-49,22,0,"(43.1156093, -74.4236782)",36035
2023-2024,CAPITAL DISTRICT,FULTON,52,12/30/2023,50-64,9,1,"(43.1156093, -74.4236782)",36035
2023-2024,CAPITAL DISTRICT,FULTON,52,12/30/2023,65+,15,1,"(43.1156093, -74.4236782)",36035
2023-2024,WESTERN,GENESEE,43,10/28/2023,18-49,1,0,"(43.0009096, -78.1927784)",36037
2023-2024,WESTERN,GENESEE,44,11/04/2023,18-49,1,0,"(43.0009096, -78.1927784)",36037
2023-2024,WESTERN,GENESEE,45,11/11/2023,0-4,1,0,"(43.0009096, -78.1927784)",36037
2023-2024,WESTERN,GENESEE,45,11/11/2023,65+,1,0,"(43.0009096, -78.1927784)",36037
2023-2024,WESTERN,GENESEE,46,11/18/2023,18-49,2,0,"(43.0009096, -78.1927784)",36037
2023-2024,WESTERN,GENESEE,46,11/18/2023,65+,1,0,"(43.0009096, -78.1927784)",36037
2023-2024,WESTERN,GENESEE,47,11/25/2023,0-4,1,0,"(43.0009096, -78.1927784)",36037
2023-2024,WESTERN,GENESEE,47,11/25/2023,65+,1,1,"(43.0009096, -78.1927784)",36037
2023-2024,WESTERN,GENESEE,48,12/02/2023,0-4,1,0,"(43.0009096, -78.1927784)",36037
2023-2024,WESTERN,GENESEE,48,12/02/2023,18-49,1,0,"(43.0009096, -78.1927784)",36037
2023-2024,WESTERN,GENESEE,48,12/02/2023,50-64,3,0,"(43.0009096, -78.1927784)",36037
2023-2024,WESTERN,GENESEE,48,12/02/2023,65+,1,1,"(43.0009096, -78.1927784)",36037
2023-2024,WESTERN,GENESEE,49,12/09/2023,0-4,1,0,"(43.0009096, -78.1927784)",36037
2023-2024,WESTERN,GENESEE,49,12/09/2023,5-17,4,0,"(43.0009096, -78.1927784)",36037
2023-2024,WESTERN,GENESEE,49,12/09/2023,18-49,7,0,"(43.0009096, -78.1927784)",36037
2023-2024,WESTERN,GENESEE,49,12/09/2023,50-64,3,1,"(43.0009096, -78.1927784)",36037
2023-2024,WESTERN,GENESEE,49,12/09/2023,65+,5,2,"(43.0009096, -78.1927784)",36037
2023-2024,WESTERN,GENESEE,50,12/16/2023,0-4,4,0,"(43.0009096, -78.1927784)",36037
2023-2024,WESTERN,GENESEE,50,12/16/2023,5-17,9,0,"(43.0009096, -78.1927784)",36037
2023-2024,WESTERN,GENESEE,50,12/16/2023,18-49,7,1,"(43.0009096, -78.1927784)",36037
2023-2024,WESTERN,GENESEE,50,12/16/2023,50-64,4,0,"(43.0009096, -78.1927784)",36037
2023-2024,WESTERN,GENESEE,50,12/16/2023,65+,1,2,"(43.0009096, -78.1927784)",36037
2023-2024,WESTERN,GENESEE,51,12/23/2023,0-4,26,0,"(43.0009096, -78.1927784)",36037
2023-2024,WESTERN,GENESEE,51,12/23/2023,5-17,38,0,"(43.0009096, -78.1927784)",36037
2023-2024,WESTERN,GENESEE,51,12/23/2023,18-49,27,0,"(43.0009096, -78.1927784)",36037
2023-2024,WESTERN,GENESEE,51,12/23/2023,50-64,22,0,"(43.0009096, -78.1927784)",36037
2023-2024,WESTERN,GENESEE,51,12/23/2023,65+,9,0,"(43.0009096, -78.1927784)",36037
2023-2024,WESTERN,GENESEE,52,12/30/2023,0-4,10,0,"(43.0009096, -78.1927784)",36037
2023-2024,WESTERN,GENESEE,52,12/30/2023,5-17,13,0,"(43.0009096, -78.1927784)",36037
2023-2024,WESTERN,GENESEE,52,12/30/2023,18-49,33,0,"(43.0009096, -78.1927784)",36037
2023-2024,WESTERN,GENESEE,52,12/30/2023,50-64,21,3,"(43.0009096, -78.1927784)",36037
2023-2024,WESTERN,GENESEE,52,12/30/2023,65+,14,6,"(43.0009096, -78.1927784)",36037
2023-2024,CAPITAL DISTRICT,GREENE,43,10/28/2023,50-64,1,0,"(42.2869511, -74.1494949)",36039
2023-2024,CAPITAL DISTRICT,GREENE,45,11/11/2023,0-4,1,0,"(42.2869511, -74.1494949)",36039
2023-2024,CAPITAL DISTRICT,GREENE,45,11/11/2023,5-17,1,0,"(42.2869511, -74.1494949)",36039
2023-2024,CAPITAL DISTRICT,GREENE,45,11/11/2023,65+,1,0,"(42.2869511, -74.1494949)",36039
2023-2024,CAPITAL DISTRICT,GREENE,46,11/18/2023,0-4,1,0,"(42.2869511, -74.1494949)",36039
2023-2024,CAPITAL DISTRICT,GREENE,46,11/18/2023,5-17,1,0,"(42.2869511, -74.1494949)",36039
2023-2024,CAPITAL DISTRICT,GREENE,47,11/25/2023,0-4,1,0,"(42.2869511, -74.1494949)",36039
2023-2024,CAPITAL DISTRICT,GREENE,47,11/25/2023,50-64,1,0,"(42.2869511, -74.1494949)",36039
2023-2024,CAPITAL DISTRICT,GREENE,47,11/25/2023,65+,1,0,"(42.2869511, -74.1494949)",36039
2023-2024,CAPITAL DISTRICT,GREENE,48,12/02/2023,0-4,1,0,"(42.2869511, -74.1494949)",36039
2023-2024,CAPITAL DISTRICT,GREENE,48,12/02/2023,18-49,1,0,"(42.2869511, -74.1494949)",36039
2023-2024,CAPITAL DISTRICT,GREENE,48,12/02/2023,50-64,3,0,"(42.2869511, -74.1494949)",36039
2023-2024,CAPITAL DISTRICT,GREENE,48,12/02/2023,65+,2,0,"(42.2869511, -74.1494949)",36039
2023-2024,CAPITAL DISTRICT,GREENE,49,12/09/2023,5-17,1,0,"(42.2869511, -74.1494949)",36039
2023-2024,CAPITAL DISTRICT,GREENE,49,12/09/2023,18-49,1,0,"(42.2869511, -74.1494949)",36039
2023-2024,CAPITAL DISTRICT,GREENE,49,12/09/2023,65+,1,0,"(42.2869511, -74.1494949)",36039
2023-2024,CAPITAL DISTRICT,GREENE,50,12/16/2023,18-49,1,0,"(42.2869511, -74.1494949)",36039
2023-2024,CAPITAL DISTRICT,GREENE,50,12/16/2023,50-64,1,0,"(42.2869511, -74.1494949)",36039
2023-2024,CAPITAL DISTRICT,GREENE,51,12/23/2023,18-49,3,0,"(42.2869511, -74.1494949)",36039
2023-2024,CAPITAL DISTRICT,GREENE,51,12/23/2023,50-64,2,0,"(42.2869511, -74.1494949)",36039
2023-2024,CAPITAL DISTRICT,GREENE,51,12/23/2023,65+,2,0,"(42.2869511, -74.1494949)",36039
2023-2024,CAPITAL DISTRICT,GREENE,52,12/30/2023,0-4,3,0,"(42.2869511, -74.1494949)",36039
2023-2024,CAPITAL DISTRICT,GREENE,52,12/30/2023,5-17,4,0,"(42.2869511, -74.1494949)",36039
2023-2024,CAPITAL DISTRICT,GREENE,52,12/30/2023,18-49,6,0,"(42.2869511, -74.1494949)",36039
2023-2024,CAPITAL DISTRICT,GREENE,52,12/30/2023,50-64,4,0,"(42.2869511, -74.1494949)",36039
2023-2024,CAPITAL DISTRICT,GREENE,52,12/30/2023,65+,3,0,"(42.2869511, -74.1494949)",36039
2023-2024,CAPITAL DISTRICT,HAMILTON,46,11/18/2023,5-17,1,0,"(43.6578786, -74.5024556)",36041
2023-2024,CAPITAL DISTRICT,HAMILTON,49,12/09/2023,5-17,1,0,"(43.6578786, -74.5024556)",36041
2023-2024,CAPITAL DISTRICT,HAMILTON,49,12/09/2023,50-64,1,0,"(43.6578786, -74.5024556)",36041
2023-2024,CAPITAL DISTRICT,HAMILTON,50,12/16/2023,18-49,1,0,"(43.6578786, -74.5024556)",36041
2023-2024,CAPITAL DISTRICT,HAMILTON,50,12/16/2023,65+,1,0,"(43.6578786, -74.5024556)",36041
2023-2024,CAPITAL DISTRICT,HAMILTON,51,12/23/2023,5-17,1,0,"(43.6578786, -74.5024556)",36041
2023-2024,CAPITAL DISTRICT,HAMILTON,51,12/23/2023,18-49,1,0,"(43.6578786, -74.5024556)",36041
2023-2024,CAPITAL DISTRICT,HAMILTON,52,12/30/2023,50-64,1,0,"(43.6578786, -74.5024556)",36041
2023-2024,CAPITAL DISTRICT,HAMILTON,52,12/30/2023,65+,4,0,"(43.6578786, -74.5024556)",36041
2023-2024,CENTRAL,HERKIMER,40,10/07/2023,50-64,1,0,"(43.1631, -74.8741)",36043
2023-2024,CENTRAL,HERKIMER,40,10/07/2023,65+,1,0,"(43.1631, -74.8741)",36043
2023-2024,CENTRAL,HERKIMER,41,10/14/2023,0-4,1,0,"(43.1631, -74.8741)",36043
2023-2024,CENTRAL,HERKIMER,41,10/14/2023,50-64,2,0,"(43.1631, -74.8741)",36043
2023-2024,CENTRAL,HERKIMER,42,10/21/2023,50-64,1,0,"(43.1631, -74.8741)",36043
2023-2024,CENTRAL,HERKIMER,42,10/21/2023,65+,1,0,"(43.1631, -74.8741)",36043
2023-2024,CENTRAL,HERKIMER,43,10/28/2023,5-17,1,0,"(43.1631, -74.8741)",36043
2023-2024,CENTRAL,HERKIMER,44,11/04/2023,18-49,1,0,"(43.1631, -74.8741)",36043
2023-2024,CENTRAL,HERKIMER,44,11/04/2023,50-64,1,0,"(43.1631, -74.8741)",36043
2023-2024,CENTRAL,HERKIMER,45,11/11/2023,50-64,1,0,"(43.1631, -74.8741)",36043
2023-2024,CENTRAL,HERKIMER,46,11/18/2023,18-49,1,0,"(43.1631, -74.8741)",36043
2023-2024,CENTRAL,HERKIMER,47,11/25/2023,18-49,1,0,"(43.1631, -74.8741)",36043
2023-2024,CENTRAL,HERKIMER,47,11/25/2023,50-64,1,0,"(43.1631, -74.8741)",36043
2023-2024,CENTRAL,HERKIMER,48,12/02/2023,5-17,1,0,"(43.1631, -74.8741)",36043
2023-2024,CENTRAL,HERKIMER,48,12/02/2023,18-49,2,0,"(43.1631, -74.8741)",36043
2023-2024,CENTRAL,HERKIMER,49,12/09/2023,0-4,1,0,"(43.1631, -74.8741)",36043
2023-2024,CENTRAL,HERKIMER,49,12/09/2023,18-49,2,0,"(43.1631, -74.8741)",36043
2023-2024,CENTRAL,HERKIMER,49,12/09/2023,50-64,2,0,"(43.1631, -74.8741)",36043
2023-2024,CENTRAL,HERKIMER,49,12/09/2023,65+,2,0,"(43.1631, -74.8741)",36043
2023-2024,CENTRAL,HERKIMER,50,12/16/2023,0-4,5,0,"(43.1631, -74.8741)",36043
2023-2024,CENTRAL,HERKIMER,50,12/16/2023,5-17,5,0,"(43.1631, -74.8741)",36043
2023-2024,CENTRAL,HERKIMER,50,12/16/2023,18-49,9,0,"(43.1631, -74.8741)",36043
2023-2024,CENTRAL,HERKIMER,50,12/16/2023,50-64,3,0,"(43.1631, -74.8741)",36043
2023-2024,CENTRAL,HERKIMER,50,12/16/2023,65+,4,0,"(43.1631, -74.8741)",36043
2023-2024,CENTRAL,HERKIMER,51,12/23/2023,0-4,5,0,"(43.1631, -74.8741)",36043
2023-2024,CENTRAL,HERKIMER,51,12/23/2023,5-17,11,0,"(43.1631, -74.8741)",36043
2023-2024,CENTRAL,HERKIMER,51,12/23/2023,18-49,9,0,"(43.1631, -74.8741)",36043
2023-2024,CENTRAL,HERKIMER,51,12/23/2023,50-64,7,0,"(43.1631, -74.8741)",36043
2023-2024,CENTRAL,HERKIMER,51,12/23/2023,65+,7,0,"(43.1631, -74.8741)",36043
2023-2024,CENTRAL,HERKIMER,52,12/30/2023,0-4,6,0,"(43.1631, -74.8741)",36043
2023-2024,CENTRAL,HERKIMER,52,12/30/2023,5-17,3,0,"(43.1631, -74.8741)",36043
2023-2024,CENTRAL,HERKIMER,52,12/30/2023,18-49,16,0,"(43.1631, -74.8741)",36043
2023-2024,CENTRAL,HERKIMER,52,12/30/2023,50-64,14,0,"(43.1631, -74.8741)",36043
2023-2024,CENTRAL,HERKIMER,52,12/30/2023,65+,6,0,"(43.1631, -74.8741)",36043
2023-2024,CENTRAL,JEFFERSON,40,10/07/2023,5-17,2,0,"(44.0607, -75.9928)",36045
2023-2024,CENTRAL,JEFFERSON,41,10/14/2023,0-4,2,0,"(44.0607, -75.9928)",36045
2023-2024,CENTRAL,JEFFERSON,41,10/14/2023,5-17,3,0,"(44.0607, -75.9928)",36045
2023-2024,CENTRAL,JEFFERSON,41,10/14/2023,18-49,1,0,"(44.0607, -75.9928)",36045
2023-2024,CENTRAL,JEFFERSON,41,10/14/2023,65+,1,0,"(44.0607, -75.9928)",36045
2023-2024,CENTRAL,JEFFERSON,42,10/21/2023,0-4,2,0,"(44.0607, -75.9928)",36045
2023-2024,CENTRAL,JEFFERSON,42,10/21/2023,5-17,4,0,"(44.0607, -75.9928)",36045
2023-2024,CENTRAL,JEFFERSON,42,10/21/2023,18-49,1,0,"(44.0607, -75.9928)",36045
2023-2024,CENTRAL,JEFFERSON,43,10/28/2023,0-4,4,0,"(44.0607, -75.9928)",36045
2023-2024,CENTRAL,JEFFERSON,43,10/28/2023,5-17,8,1,"(44.0607, -75.9928)",36045
2023-2024,CENTRAL,JEFFERSON,43,10/28/2023,18-49,8,0,"(44.0607, -75.9928)",36045
