Season,Region,County,CDC Week,Week Ending Date,Count,Age Group
2020 - 2021,CENTRAL,OSWEGO,44,10/31/2020,0,0-4
2020 - 2021,CENTRAL,OSWEGO,44,10/31/2020,0,5-17
2020 - 2021,CENTRAL,OSWEGO,44,10/31/2020,0,18-49
2020 - 2021,CENTRAL,OSWEGO,44,10/31/2020,0,50-64
2020 - 2021,CENTRAL,OSWEGO,44,10/31/2020,0,65+
2020 - 2021,CENTRAL,OSWEGO,45,11/07/2020,0,0-4
2020 - 2021,CENTRAL,OSWEGO,45,11/07/2020,0,5-17
2020 - 2021,CENTRAL,OSWEGO,45,11/07/2020,0,18-49
2020 - 2021,CENTRAL,OSWEGO,45,11/07/2020,0,50-64
2020 - 2021,CENTRAL,OSWEGO,45,11/07/2020,0,65+
2020 - 2021,CENTRAL,OSWEGO,46,11/14/2020,0,0-4
2020 - 2021,CENTRAL,OSWEGO,46,11/14/2020,0,5-17
2020 - 2021,CENTRAL,OSWEGO,46,11/14/2020,0,18-49
2020 - 2021,CENTRAL,OSWEGO,46,11/14/2020,0,50-64
2020 - 2021,CENTRAL,OSWEGO,46,11/14/2020,0,65+
2020 - 2021,CENTRAL,OSWEGO,47,11/21/2020,0,0-4
2020 - 2021,CENTRAL,OSWEGO,47,11/21/2020,0,5-17
2020 - 2021,CENTRAL,OSWEGO,47,11/21/2020,0,18-49
2020 - 2021,CENTRAL,OSWEGO,47,11/21/2020,0,50-64
2020 - 2021,CENTRAL,OSWEGO,47,11/21/2020,0,65+
2020 - 2021,CENTRAL,OSWEGO,48,11/28/2020,0,0-4
2020 - 2021,CENTRAL,OSWEGO,48,11/28/2020,0,5-17
2020 - 2021,CENTRAL,OSWEGO,48,11/28/2020,0,18-49
2020 - 2021,CENTRAL,OSWEGO,48,11/28/2020,0,50-64
2020 - 2021,CENTRAL,OSWEGO,48,11/28/2020,0,65+
2020 - 2021,CENTRAL,OSWEGO,49,12/05/2020,0,0-4
2020 - 2021,CENTRAL,OSWEGO,49,12/05/2020,0,5-17
2020 - 2021,CENTRAL,OSWEGO,49,12/05/2020,0,18-49
2020 - 2021,CENTRAL,OSWEGO,49,12/05/2020,0,50-64
2020 - 2021,CENTRAL,OSWEGO,49,12/05/2020,0,65+
2020 - 2021,CENTRAL,OSWEGO,50,12/12/2020,0,0-4
2020 - 2021,CENTRAL,OSWEGO,50,12/12/2020,0,5-17
2020 - 2021,CENTRAL,OSWEGO,50,12/12/2020,0,18-49
2020 - 2021,CENTRAL,OSWEGO,50,12/12/2020,0,50-64
2020 - 2021,CENTRAL,OSWEGO,50,12/12/2020,0,65+
2020 - 2021,CENTRAL,OSWEGO,51,12/19/2020,0,0-4
2020 - 2021,CENTRAL,OSWEGO,51,12/19/2020,0,5-17
2020 - 2021,CENTRAL,OSWEGO,51,12/19/2020,0,18-49
2020 - 2021,CENTRAL,OSWEGO,51,12/19/2020,0,50-64
2020 - 2021,CENTRAL,OSWEGO,51,12/19/2020,0,65+
2020 - 2021,CENTRAL,OSWEGO,52,12/26/2020,0,0-4
2020 - 2021,CENTRAL,OSWEGO,52,12/26/2020,0,5-17
2020 - 2021,CENTRAL,OSWEGO,52,12/26/2020,0,18-49
2020 - 2021,CENTRAL,OSWEGO,52,12/26/2020,0,50-64
2020 - 2021,CENTRAL,OSWEGO,52,12/26/2020,0,65+
2020 - 2021,CENTRAL,OSWEGO,53,01/02/2021,0,0-4
2020 - 2021,CENTRAL,OSWEGO,53,01/02/2021,0,5-17
2020 - 2021,CENTRAL,OSWEGO,53,01/02/2021,0,18-49
2020 - 2021,CENTRAL,OSWEGO,53,01/02/2021,0,50-64
2020 - 2021,CENTRAL,OSWEGO,53,01/02/2021,0,65+
2020 - 2021,CENTRAL,OSWEGO,1,01/09/2021,0,0-4
2020 - 2021,CENTRAL,OSWEGO,1,01/09/2021,0,5-17
2020 - 2021,CENTRAL,OSWEGO,1,01/09/2021,0,18-49
2020 - 2021,CENTRAL,OSWEGO,1,01/09/2021,0,50-64
2020 - 2021,CENTRAL,OSWEGO,1,01/09/2021,0,65+
2020 - 2021,CENTRAL,OSWEGO,2,01/16/2021,0,0-4
2020 - 2021,CENTRAL,OSWEGO,2,01/16/2021,0,5-17
2020 - 2021,CENTRAL,OSWEGO,2,01/16/2021,0,18-49
2020 - 2021,CENTRAL,OSWEGO,2,01/16/2021,0,50-64
2020 - 2021,CENTRAL,OSWEGO,2,01/16/2021,0,65+
2020 - 2021,CENTRAL,OSWEGO,3,01/23/2021,0,0-4
2020 - 2021,CENTRAL,OSWEGO,3,01/23/2021,0,5-17
2020 - 2021,CENTRAL,OSWEGO,3,01/23/2021,0,18-49
2020 - 2021,CENTRAL,OSWEGO,3,01/23/2021,0,50-64
2020 - 2021,CENTRAL,OSWEGO,3,01/23/2021,0,65+
2020 - 2021,CENTRAL,OSWEGO,4,01/30/2021,0,0-4
2020 - 2021,CENTRAL,OSWEGO,4,01/30/2021,0,5-17
2020 - 2021,CENTRAL,OSWEGO,4,01/30/2021,0,18-49
2020 - 2021,CENTRAL,OSWEGO,4,01/30/2021,0,50-64
2020 - 2021,CENTRAL,OSWEGO,4,01/30/2021,0,65+
2020 - 2021,CENTRAL,OSWEGO,5,02/06/2021,0,0-4
2020 - 2021,CENTRAL,OSWEGO,5,02/06/2021,0,5-17
2020 - 2021,CENTRAL,OSWEGO,5,02/06/2021,0,18-49
2020 - 2021,CENTRAL,OSWEGO,5,02/06/2021,0,50-64
2020 - 2021,CENTRAL,OSWEGO,5,02/06/2021,0,65+
2020 - 2021,CENTRAL,OSWEGO,6,02/13/2021,0,0-4
2020 - 2021,CENTRAL,OSWEGO,6,02/13/2021,0,5-17
2020 - 2021,CENTRAL,OSWEGO,6,02/13/2021,0,18-49
2020 - 2021,CENTRAL,OSWEGO,6,02/13/2021,0,50-64
2020 - 2021,CENTRAL,OSWEGO,6,02/13/2021,0,65+
2020 - 2021,CENTRAL,OSWEGO,7,02/20/2021,0,0-4
2020 - 2021,CENTRAL,OSWEGO,7,02/20/2021,0,5-17
2020 - 2021,CENTRAL,OSWEGO,7,02/20/2021,0,18-49
2020 - 2021,CENTRAL,OSWEGO,7,02/20/2021,0,50-64
2020 - 2021,CENTRAL,OSWEGO,7,02/20/2021,0,65+
2020 - 2021,CENTRAL,OSWEGO,8,02/27/2021,0,0-4
2020 - 2021,CENTRAL,OSWEGO,8,02/27/2021,0,5-17
2020 - 2021,CENTRAL,OSWEGO,8,02/27/2021,0,18-49
2020 - 2021,CENTRAL,OSWEGO,8,02/27/2021,0,50-64
2020 - 2021,CENTRAL,OSWEGO,8,02/27/2021,0,65+
2020 - 2021,CENTRAL,OSWEGO,9,03/06/2021,0,0-4
2020 - 2021,CENTRAL,OSWEGO,9,03/06/2021,0,5-17
2020 - 2021,CENTRAL,OSWEGO,9,03/06/2021,0,18-49
2020 - 2021,CENTRAL,OSWEGO,9,03/06/2021,0,50-64
2020 - 2021,CENTRAL,OSWEGO,9,03/06/2021,0,65+
2020 - 2021,CENTRAL,OSWEGO,10,03/13/2021,0,0-4
2020 - 2021,CENTRAL,OSWEGO,10,03/13/2021,0,5-17
2020 - 2021,CENTRAL,OSWEGO,10,03/13/2021,0,18-49
2020 - 2021,CENTRAL,OSWEGO,10,03/13/2021,0,50-64
2020 - 2021,CENTRAL,OSWEGO,10,03/13/2021,0,65+
2020 - 2021,CENTRAL,OSWEGO,11,03/20/2021,0,0-4
2020 - 2021,CENTRAL,OSWEGO,11,03/20/2021,0,5-17
2020 - 2021,CENTRAL,OSWEGO,11,03/20/2021,0,18-49
2020 - 2021,CENTRAL,OSWEGO,11,03/20/2021,0,50-64
2020 - 2021,CENTRAL,OSWEGO,11,03/20/2021,0,65+
2020 - 2021,CENTRAL,OSWEGO,12,03/27/2021,0,0-4
2020 - 2021,CENTRAL,OSWEGO,12,03/27/2021,0,5-17
2020 - 2021,CENTRAL,OSWEGO,12,03/27/2021,0,18-49
2020 - 2021,CENTRAL,OSWEGO,12,03/27/2021,0,50-64
2020 - 2021,CENTRAL,OSWEGO,12,03/27/2021,0,65+
2020 - 2021,CENTRAL,OSWEGO,13,04/03/2021,0,0-4
2020 - 2021,CENTRAL,OSWEGO,13,04/03/2021,0,5-17
2020 - 2021,CENTRAL,OSWEGO,13,04/03/2021,0,18-49
2020 - 2021,CENTRAL,OSWEGO,13,04/03/2021,0,50-64
2020 - 2021,CENTRAL,OSWEGO,13,04/03/2021,0,65+
2020 - 2021,CENTRAL,OSWEGO,14,04/10/2021,0,0-4
2020 - 2021,CENTRAL,OSWEGO,14,04/10/2021,0,5-17
2020 - 2021,CENTRAL,OSWEGO,14,04/10/2021,0,18-49
2020 - 2021,CENTRAL,OSWEGO,14,04/10/2021,0,50-64
2020 - 2021,CENTRAL,OSWEGO,14,04/10/2021,0,65+
2020 - 2021,CENTRAL,OSWEGO,15,04/17/2021,0,0-4
2020 - 2021,CENTRAL,OSWEGO,15,04/17/2021,0,5-17
2020 - 2021,CENTRAL,OSWEGO,15,04/17/2021,0,18-49
2020 - 2021,CENTRAL,OSWEGO,15,04/17/2021,0,50-64
2020 - 2021,CENTRAL,OSWEGO,15,04/17/2021,0,65+
2020 - 2021,CENTRAL,OSWEGO,16,04/24/2021,0,0-4
2020 - 2021,CENTRAL,OSWEGO,16,04/24/2021,0,5-17
2020 - 2021,CENTRAL,OSWEGO,16,04/24/2021,0,18-49
2020 - 2021,CENTRAL,OSWEGO,16,04/24/2021,0,50-64
2020 - 2021,CENTRAL,OSWEGO,16,04/24/2021,0,65+
2020 - 2021,CENTRAL,OSWEGO,17,05/01/2021,0,0-4
2020 - 2021,CENTRAL,OSWEGO,17,05/01/2021,0,5-17
2020 - 2021,CENTRAL,OSWEGO,17,05/01/2021,0,18-49
2020 - 2021,CENTRAL,OSWEGO,17,05/01/2021,0,50-64
2020 - 2021,CENTRAL,OSWEGO,17,05/01/2021,0,65+
2020 - 2021,CENTRAL,OSWEGO,18,05/08/2021,0,0-4
2020 - 2021,CENTRAL,OSWEGO,18,05/08/2021,0,5-17
2020 - 2021,CENTRAL,OSWEGO,18,05/08/2021,0,18-49
2020 - 2021,CENTRAL,OSWEGO,18,05/08/2021,0,50-64
2020 - 2021,CENTRAL,OSWEGO,18,05/08/2021,0,65+
2020 - 2021,CENTRAL,OSWEGO,19,05/15/2021,0,0-4
2020 - 2021,CENTRAL,OSWEGO,19,05/15/2021,0,5-17
2020 - 2021,CENTRAL,OSWEGO,19,05/15/2021,0,18-49
2020 - 2021,CENTRAL,OSWEGO,19,05/15/2021,0,50-64
2020 - 2021,CENTRAL,OSWEGO,19,05/15/2021,0,65+
2020 - 2021,CENTRAL,OSWEGO,20,05/22/2021,0,0-4
2020 - 2021,CENTRAL,OSWEGO,20,05/22/2021,0,5-17
2020 - 2021,CENTRAL,OSWEGO,20,05/22/2021,0,18-49
2020 - 2021,CENTRAL,OSWEGO,20,05/22/2021,0,50-64
2020 - 2021,CENTRAL,OSWEGO,20,05/22/2021,0,65+
2020 - 2021,CENTRAL,ST.LAWRENCE,41,10/10/2020,0,0-4
2020 - 2021,CENTRAL,ST.LAWRENCE,41,10/10/2020,0,5-17
2020 - 2021,CENTRAL,ST.LAWRENCE,41,10/10/2020,0,18-49
2020 - 2021,CENTRAL,ST.LAWRENCE,41,10/10/2020,0,50-64
2020 - 2021,CENTRAL,ST.LAWRENCE,41,10/10/2020,0,65+
2020 - 2021,CENTRAL,ST.LAWRENCE,42,10/17/2020,0,0-4
2020 - 2021,CENTRAL,ST.LAWRENCE,42,10/17/2020,0,5-17
2020 - 2021,CENTRAL,ST.LAWRENCE,42,10/17/2020,0,18-49
2020 - 2021,CENTRAL,ST.LAWRENCE,42,10/17/2020,0,50-64
2020 - 2021,CENTRAL,ST.LAWRENCE,42,10/17/2020,0,65+
2020 - 2021,CENTRAL,ST.LAWRENCE,43,10/24/2020,0,0-4
2020 - 2021,CENTRAL,ST.LAWRENCE,43,10/24/2020,0,5-17
2020 - 2021,CENTRAL,ST.LAWRENCE,43,10/24/2020,0,18-49
2020 - 2021,CENTRAL,ST.LAWRENCE,43,10/24/2020,0,50-64
2020 - 2021,CENTRAL,ST.LAWRENCE,43,10/24/2020,0,65+
2020 - 2021,CENTRAL,ST.LAWRENCE,44,10/31/2020,0,0-4
2020 - 2021,CENTRAL,ST.LAWRENCE,44,10/31/2020,0,5-17
2020 - 2021,CENTRAL,ST.LAWRENCE,44,10/31/2020,0,18-49
2020 - 2021,CENTRAL,ST.LAWRENCE,44,10/31/2020,0,50-64
2020 - 2021,CENTRAL,ST.LAWRENCE,44,10/31/2020,0,65+
2020 - 2021,CENTRAL,ST.LAWRENCE,45,11/07/2020,0,0-4
2020 - 2021,CENTRAL,ST.LAWRENCE,45,11/07/2020,0,5-17
2020 - 2021,CENTRAL,ST.LAWRENCE,45,11/07/2020,0,18-49
2020 - 2021,CENTRAL,ST.LAWRENCE,45,11/07/2020,0,50-64
2020 - 2021,CENTRAL,ST.LAWRENCE,45,11/07/2020,0,65+
2020 - 2021,CENTRAL,ST.LAWRENCE,46,11/14/2020,0,0-4
2020 - 2021,CENTRAL,ST.LAWRENCE,46,11/14/2020,0,5-17
2020 - 2021,CENTRAL,ST.LAWRENCE,46,11/14/2020,0,18-49
2020 - 2021,CENTRAL,ST.LAWRENCE,46,11/14/2020,0,50-64
2020 - 2021,CENTRAL,ST.LAWRENCE,46,11/14/2020,0,65+
2020 - 2021,CENTRAL,ST.LAWRENCE,47,11/21/2020,0,0-4
2020 - 2021,CENTRAL,ST.LAWRENCE,47,11/21/2020,0,5-17
2020 - 2021,CENTRAL,ST.LAWRENCE,47,11/21/2020,0,18-49
2020 - 2021,CENTRAL,ST.LAWRENCE,47,11/21/2020,0,50-64
2020 - 2021,CENTRAL,ST.LAWRENCE,47,11/21/2020,0,65+
2020 - 2021,CENTRAL,ST.LAWRENCE,48,11/28/2020,0,0-4
2020 - 2021,CENTRAL,ST.LAWRENCE,48,11/28/2020,0,5-17
2020 - 2021,CENTRAL,ST.LAWRENCE,48,11/28/2020,0,18-49
2020 - 2021,CENTRAL,ST.LAWRENCE,48,11/28/2020,0,50-64
2020 - 2021,CENTRAL,ST.LAWRENCE,48,11/28/2020,0,65+
2020 - 2021,CENTRAL,ST.LAWRENCE,49,12/05/2020,0,0-4
2020 - 2021,CENTRAL,ST.LAWRENCE,49,12/05/2020,0,5-17
2020 - 2021,CENTRAL,ST.LAWRENCE,49,12/05/2020,0,18-49
2020 - 2021,CENTRAL,ST.LAWRENCE,49,12/05/2020,0,50-64
2020 - 2021,CENTRAL,ST.LAWRENCE,49,12/05/2020,0,65+
2020 - 2021,CENTRAL,ST.LAWRENCE,50,12/12/2020,0,0-4
2020 - 2021,CENTRAL,ST.LAWRENCE,50,12/12/2020,0,5-17
2020 - 2021,CENTRAL,ST.LAWRENCE,50,12/12/2020,0,18-49
2020 - 2021,CENTRAL,ST.LAWRENCE,50,12/12/2020,0,50-64
2020 - 2021,CENTRAL,ST.LAWRENCE,50,12/12/2020,0,65+
2020 - 2021,CENTRAL,ST.LAWRENCE,51,12/19/2020,0,0-4
2020 - 2021,CENTRAL,ST.LAWRENCE,51,12/19/2020,0,5-17
2020 - 2021,CENTRAL,ST.LAWRENCE,51,12/19/2020,0,18-49
2020 - 2021,CENTRAL,ST.LAWRENCE,51,12/19/2020,0,50-64
2020 - 2021,CENTRAL,ST.LAWRENCE,51,12/19/2020,0,65+
2020 - 2021,CENTRAL,ST.LAWRENCE,52,12/26/2020,0,0-4
2020 - 2021,CENTRAL,ST.LAWRENCE,52,12/26/2020,0,5-17
2020 - 2021,CENTRAL,ST.LAWRENCE,52,12/26/2020,0,18-49
2020 - 2021,CENTRAL,ST.LAWRENCE,52,12/26/2020,0,50-64
2020 - 2021,CENTRAL,ST.LAWRENCE,52,12/26/2020,0,65+
2020 - 2021,CENTRAL,ST.LAWRENCE,53,01/02/2021,0,0-4
2020 - 2021,CENTRAL,ST.LAWRENCE,53,01/02/2021,0,5-17
2020 - 2021,CENTRAL,ST.LAWRENCE,53,01/02/2021,0,18-49
2020 - 2021,CENTRAL,ST.LAWRENCE,53,01/02/2021,0,50-64
2020 - 2021,CENTRAL,ST.LAWRENCE,53,01/02/2021,0,65+
2020 - 2021,CENTRAL,ST.LAWRENCE,1,01/09/2021,0,0-4
2020 - 2021,CENTRAL,ST.LAWRENCE,1,01/09/2021,0,5-17
2020 - 2021,CENTRAL,ST.LAWRENCE,1,01/09/2021,0,18-49
2020 - 2021,CENTRAL,ST.LAWRENCE,1,01/09/2021,0,50-64
2020 - 2021,CENTRAL,ST.LAWRENCE,1,01/09/2021,2,65+
2020 - 2021,CENTRAL,ST.LAWRENCE,2,01/16/2021,0,0-4
2020 - 2021,CENTRAL,ST.LAWRENCE,2,01/16/2021,0,5-17
2020 - 2021,CENTRAL,ST.LAWRENCE,2,01/16/2021,0,18-49
2020 - 2021,CENTRAL,ST.LAWRENCE,2,01/16/2021,0,50-64
2020 - 2021,CENTRAL,ST.LAWRENCE,2,01/16/2021,0,65+
2020 - 2021,CENTRAL,ST.LAWRENCE,3,01/23/2021,0,0-4
2020 - 2021,CENTRAL,ST.LAWRENCE,3,01/23/2021,0,5-17
2020 - 2021,CENTRAL,ST.LAWRENCE,3,01/23/2021,0,18-49
2020 - 2021,CENTRAL,ST.LAWRENCE,3,01/23/2021,0,50-64
2020 - 2021,CENTRAL,ST.LAWRENCE,3,01/23/2021,0,65+
2020 - 2021,CENTRAL,ST.LAWRENCE,4,01/30/2021,0,0-4
2020 - 2021,CENTRAL,ST.LAWRENCE,4,01/30/2021,0,5-17
2020 - 2021,CENTRAL,ST.LAWRENCE,4,01/30/2021,0,18-49
2020 - 2021,CENTRAL,ST.LAWRENCE,4,01/30/2021,0,50-64
2020 - 2021,CENTRAL,ST.LAWRENCE,4,01/30/2021,0,65+
2020 - 2021,CENTRAL,ST.LAWRENCE,5,02/06/2021,0,0-4
2020 - 2021,CENTRAL,ST.LAWRENCE,5,02/06/2021,0,5-17
2020 - 2021,CENTRAL,ST.LAWRENCE,5,02/06/2021,1,18-49
2020 - 2021,CENTRAL,ST.LAWRENCE,5,02/06/2021,0,50-64
2020 - 2021,CENTRAL,ST.LAWRENCE,5,02/06/2021,0,65+
2020 - 2021,CENTRAL,ST.LAWRENCE,6,02/13/2021,0,0-4
2020 - 2021,CENTRAL,ST.LAWRENCE,6,02/13/2021,0,5-17
2020 - 2021,CENTRAL,ST.LAWRENCE,6,02/13/2021,0,18-49
2020 - 2021,CENTRAL,ST.LAWRENCE,6,02/13/2021,0,50-64
2020 - 2021,CENTRAL,ST.LAWRENCE,6,02/13/2021,0,65+
2020 - 2021,CENTRAL,ST.LAWRENCE,7,02/20/2021,0,0-4
2020 - 2021,CENTRAL,ST.LAWRENCE,7,02/20/2021,0,5-17
2020 - 2021,CENTRAL,ST.LAWRENCE,7,02/20/2021,0,18-49
2020 - 2021,CENTRAL,ST.LAWRENCE,7,02/20/2021,0,50-64
2020 - 2021,CENTRAL,ST.LAWRENCE,7,02/20/2021,0,65+
2020 - 2021,CENTRAL,ST.LAWRENCE,8,02/27/2021,0,0-4
2020 - 2021,CENTRAL,ST.LAWRENCE,8,02/27/2021,0,5-17
2020 - 2021,CENTRAL,ST.LAWRENCE,8,02/27/2021,0,18-49
2020 - 2021,CENTRAL,ST.LAWRENCE,8,02/27/2021,0,50-64
2020 - 2021,CENTRAL,ST.LAWRENCE,8,02/27/2021,0,65+
2020 - 2021,CENTRAL,ST.LAWRENCE,9,03/06/2021,0,0-4
2020 - 2021,CENTRAL,ST.LAWRENCE,9,03/06/2021,0,5-17
2020 - 2021,CENTRAL,ST.LAWRENCE,9,03/06/2021,0,18-49
2020 - 2021,CENTRAL,ST.LAWRENCE,9,03/06/2021,0,50-64
2020 - 2021,CENTRAL,ST.LAWRENCE,9,03/06/2021,0,65+
2020 - 2021,CENTRAL,ST.LAWRENCE,10,03/13/2021,0,0-4
2020 - 2021,CENTRAL,ST.LAWRENCE,10,03/13/2021,0,5-17
2020 - 2021,CENTRAL,ST.LAWRENCE,10,03/13/2021,0,18-49
2020 - 2021,CENTRAL,ST.LAWRENCE,10,03/13/2021,0,50-64
2020 - 2021,CENTRAL,ST.LAWRENCE,10,03/13/2021,0,65+
2020 - 2021,CENTRAL,ST.LAWRENCE,11,03/20/2021,0,0-4
2020 - 2021,CENTRAL,ST.LAWRENCE,11,03/20/2021,0,5-17
2020 - 2021,CENTRAL,ST.LAWRENCE,11,03/20/2021,0,18-49
2020 - 2021,CENTRAL,ST.LAWRENCE,11,03/20/2021,0,50-64
2020 - 2021,CENTRAL,ST.LAWRENCE,11,03/20/2021,0,65+
2020 - 2021,CENTRAL,ST.LAWRENCE,12,03/27/2021,0,0-4
2020 - 2021,CENTRAL,ST.LAWRENCE,12,03/27/2021,0,5-17
2020 - 2021,CENTRAL,ST.LAWRENCE,12,03/27/2021,0,18-49
2020 - 2021,CENTRAL,ST.LAWRENCE,12,03/27/2021,0,50-64
2020 - 2021,CENTRAL,ST.LAWRENCE,12,03/27/2021,0,65+
2020 - 2021,CENTRAL,ST.LAWRENCE,13,04/03/2021,0,0-4
2020 - 2021,CENTRAL,ST.LAWRENCE,13,04/03/2021,0,5-17
2020 - 2021,CENTRAL,ST.LAWRENCE,13,04/03/2021,0,18-49
2020 - 2021,CENTRAL,ST.LAWRENCE,13,04/03/2021,0,50-64
2020 - 2021,CENTRAL,ST.LAWRENCE,13,04/03/2021,0,65+
2020 - 2021,CENTRAL,ST.LAWRENCE,14,04/10/2021,0,0-4
2020 - 2021,CENTRAL,ST.LAWRENCE,14,04/10/2021,0,5-17
2020 - 2021,CENTRAL,ST.LAWRENCE,14,04/10/2021,0,18-49
2020 - 2021,CENTRAL,ST.LAWRENCE,14,04/10/2021,0,50-64
2020 - 2021,CENTRAL,ST.LAWRENCE,14,04/10/2021,0,65+
2020 - 2021,CENTRAL,ST.LAWRENCE,15,04/17/2021,0,0-4
2020 - 2021,CENTRAL,ST.LAWRENCE,15,04/17/2021,0,5-17
2020 - 2021,CENTRAL,ST.LAWRENCE,15,04/17/2021,0,18-49
2020 - 2021,CENTRAL,ST.LAWRENCE,15,04/17/2021,0,50-64
2020 - 2021,CENTRAL,ST.LAWRENCE,15,04/17/2021,0,65+
2020 - 2021,CENTRAL,ST.LAWRENCE,16,04/24/2021,0,0-4
2020 - 2021,CENTRAL,ST.LAWRENCE,16,04/24/2021,0,5-17
2020 - 2021,CENTRAL,ST.LAWRENCE,16,04/24/2021,0,18-49
2020 - 2021,CENTRAL,ST.LAWRENCE,16,04/24/2021,0,50-64
2020 - 2021,CENTRAL,ST.LAWRENCE,16,04/24/2021,0,65+
2020 - 2021,CENTRAL,ST.LAWRENCE,17,05/01/2021,0,0-4
2020 - 2021,CENTRAL,ST.LAWRENCE,17,05/01/2021,0,5-17
2020 - 2021,CENTRAL,ST.LAWRENCE,17,05/01/2021,0,18-49
2020 - 2021,CENTRAL,ST.LAWRENCE,17,05/01/2021,0,50-64
2020 - 2021,CENTRAL,ST.LAWRENCE,17,05/01/2021,0,65+
2020 - 2021,CENTRAL,ST.LAWRENCE,18,05/08/2021,0,0-4
2020 - 2021,CENTRAL,ST.LAWRENCE,18,05/08/2021,0,5-17
2020 - 2021,CENTRAL,ST.LAWRENCE,18,05/08/2021,0,18-49
2020 - 2021,CENTRAL,ST.LAWRENCE,18,05/08/2021,0,50-64
2020 - 2021,CENTRAL,ST.LAWRENCE,18,05/08/2021,0,65+
2020 - 2021,CENTRAL,ST.LAWRENCE,19,05/15/2021,0,0-4
2020 - 2021,CENTRAL,ST.LAWRENCE,19,05/15/2021,0,5-17
2020 - 2021,CENTRAL,ST.LAWRENCE,19,05/15/2021,0,18-49
2020 - 2021,CENTRAL,ST.LAWRENCE,19,05/15/2021,0,50-64
2020 - 2021,CENTRAL,ST.LAWRENCE,19,05/15/2021,0,65+
2020 - 2021,CENTRAL,ST.LAWRENCE,20,05/22/2021,0,0-4
2020 - 2021,CENTRAL,ST.LAWRENCE,20,05/22/2021,0,5-17
2020 - 2021,CENTRAL,ST.LAWRENCE,20,05/22/2021,0,18-49
2020 - 2021,CENTRAL,ST.LAWRENCE,20,05/22/2021,0,50-64
2020 - 2021,CENTRAL,ST.LAWRENCE,20,05/22/2021,0,65+
2020 - 2021,CENTRAL,TOMPKINS,41,10/10/2020,0,0-4
2020 - 2021,CENTRAL,TOMPKINS,41,10/10/2020,0,5-17
2020 - 2021,CENTRAL,TOMPKINS,41,10/10/2020,0,18-49
2020 - 2021,CENTRAL,TOMPKINS,41,10/10/2020,0,50-64
2020 - 2021,CENTRAL,TOMPKINS,41,10/10/2020,0,65+
2020 - 2021,CENTRAL,TOMPKINS,42,10/17/2020,0,0-4
2020 - 2021,CENTRAL,TOMPKINS,42,10/17/2020,0,5-17
2020 - 2021,CENTRAL,TOMPKINS,42,10/17/2020,0,18-49
2020 - 2021,CENTRAL,TOMPKINS,42,10/17/2020,0,50-64
2020 - 2021,CENTRAL,TOMPKINS,42,10/17/2020,0,65+
2020 - 2021,CENTRAL,TOMPKINS,43,10/24/2020,0,0-4
2020 - 2021,CENTRAL,TOMPKINS,43,10/24/2020,0,5-17
2020 - 2021,CENTRAL,TOMPKINS,43,10/24/2020,0,18-49
2020 - 2021,CENTRAL,TOMPKINS,43,10/24/2020,0,50-64
2020 - 2021,CENTRAL,TOMPKINS,43,10/24/2020,1,65+
2020 - 2021,CENTRAL,TOMPKINS,44,10/31/2020,0,0-4
2020 - 2021,CENTRAL,TOMPKINS,44,10/31/2020,0,5-17
2020 - 2021,CENTRAL,TOMPKINS,44,10/31/2020,0,18-49
2020 - 2021,CENTRAL,TOMPKINS,44,10/31/2020,0,50-64
2020 - 2021,CENTRAL,TOMPKINS,44,10/31/2020,0,65+
2020 - 2021,CENTRAL,TOMPKINS,45,11/07/2020,0,0-4
2020 - 2021,CENTRAL,TOMPKINS,45,11/07/2020,0,5-17
2020 - 2021,CENTRAL,TOMPKINS,45,11/07/2020,0,18-49
2020 - 2021,CENTRAL,TOMPKINS,45,11/07/2020,0,50-64
2020 - 2021,CENTRAL,TOMPKINS,45,11/07/2020,0,65+
2020 - 2021,CENTRAL,TOMPKINS,46,11/14/2020,0,0-4
2020 - 2021,CENTRAL,TOMPKINS,46,11/14/2020,0,5-17
2020 - 2021,CENTRAL,TOMPKINS,46,11/14/2020,0,18-49
2020 - 2021,CENTRAL,TOMPKINS,46,11/14/2020,0,50-64
2020 - 2021,CENTRAL,TOMPKINS,46,11/14/2020,0,65+
2020 - 2021,CENTRAL,TOMPKINS,47,11/21/2020,0,0-4
2020 - 2021,CENTRAL,TOMPKINS,47,11/21/2020,0,5-17
2020 - 2021,CENTRAL,TOMPKINS,47,11/21/2020,0,18-49
2020 - 2021,CENTRAL,TOMPKINS,47,11/21/2020,0,50-64
2020 - 2021,CENTRAL,TOMPKINS,47,11/21/2020,0,65+
2020 - 2021,CENTRAL,TOMPKINS,48,11/28/2020,0,0-4
2020 - 2021,CENTRAL,TOMPKINS,48,11/28/2020,0,5-17
2020 - 2021,CENTRAL,TOMPKINS,48,11/28/2020,0,18-49
2020 - 2021,CENTRAL,TOMPKINS,48,11/28/2020,0,50-64
2020 - 2021,CENTRAL,TOMPKINS,48,11/28/2020,0,65+
2020 - 2021,CENTRAL,TOMPKINS,49,12/05/2020,0,0-4
2020 - 2021,CENTRAL,TOMPKINS,49,12/05/2020,0,5-17
2020 - 2021,CENTRAL,TOMPKINS,49,12/05/2020,0,18-49
2020 - 2021,CENTRAL,TOMPKINS,49,12/05/2020,0,50-64
2020 - 2021,CENTRAL,TOMPKINS,49,12/05/2020,0,65+
