Season,Region,County,CDC Week,Week Ending Date,Count,Age Group
2020 - 2021,CAPITAL DISTRICT,ALBANY,3,01/23/2021,0,0-4
2020 - 2021,CAPITAL DISTRICT,ALBANY,3,01/23/2021,0,5-17
2020 - 2021,CAPITAL DISTRICT,ALBANY,3,01/23/2021,0,18-49
2020 - 2021,CAPITAL DISTRICT,ALBANY,3,01/23/2021,0,50-64
2020 - 2021,CAPITAL DISTRICT,ALBANY,3,01/23/2021,0,65+
2020 - 2021,CAPITAL DISTRICT,ALBANY,4,01/30/2021,0,0-4
2020 - 2021,CAPITAL DISTRICT,ALBANY,4,01/30/2021,0,5-17
2020 - 2021,CAPITAL DISTRICT,ALBANY,4,01/30/2021,0,18-49
2020 - 2021,CAPITAL DISTRICT,ALBANY,4,01/30/2021,0,50-64
2020 - 2021,CAPITAL DISTRICT,ALBANY,4,01/30/2021,0,65+
2020 - 2021,CAPITAL DISTRICT,ALBANY,5,02/06/2021,0,0-4
2020 - 2021,CAPITAL DISTRICT,ALBANY,5,02/06/2021,0,5-17
2020 - 2021,CAPITAL DISTRICT,ALBANY,5,02/06/2021,0,18-49
2020 - 2021,CAPITAL DISTRICT,ALBANY,5,02/06/2021,0,50-64
2020 - 2021,CAPITAL DISTRICT,ALBANY,5,02/06/2021,0,65+
2020 - 2021,CAPITAL DISTRICT,ALBANY,6,02/13/2021,0,0-4
2020 - 2021,CAPITAL DISTRICT,ALBANY,6,02/13/2021,0,5-17
2020 - 2021,CAPITAL DISTRICT,ALBANY,6,02/13/2021,0,18-49
2020 - 2021,CAPITAL DISTRICT,ALBANY,6,02/13/2021,0,50-64
2020 - 2021,CAPITAL DISTRICT,ALBANY,6,02/13/2021,0,65+
2020 - 2021,CAPITAL DISTRICT,ALBANY,7,02/20/2021,0,0-4
2020 - 2021,CAPITAL DISTRICT,ALBANY,7,02/20/2021,0,5-17
2020 - 2021,CAPITAL DISTRICT,ALBANY,7,02/20/2021,0,18-49
2020 - 2021,CAPITAL DISTRICT,ALBANY,7,02/20/2021,0,50-64
2020 - 2021,CAPITAL DISTRICT,ALBANY,7,02/20/2021,0,65+
2020 - 2021,CAPITAL DISTRICT,ALBANY,8,02/27/2021,0,0-4
2020 - 2021,CAPITAL DISTRICT,ALBANY,8,02/27/2021,0,5-17
2020 - 2021,CAPITAL DISTRICT,ALBANY,8,02/27/2021,0,18-49
2020 - 2021,CAPITAL DISTRICT,ALBANY,8,02/27/2021,0,50-64
2020 - 2021,CAPITAL DISTRICT,ALBANY,8,02/27/2021,0,65+
2020 - 2021,CAPITAL DISTRICT,ALBANY,9,03/06/2021,0,0-4
2020 - 2021,CAPITAL DISTRICT,ALBANY,9,03/06/2021,0,5-17
2020 - 2021,CAPITAL DISTRICT,ALBANY,9,03/06/2021,0,18-49
2020 - 2021,CAPITAL DISTRICT,ALBANY,9,03/06/2021,0,50-64
2020 - 2021,CAPITAL DISTRICT,ALBANY,9,03/06/2021,0,65+
2020 - 2021,CAPITAL DISTRICT,ALBANY,10,03/13/2021,0,0-4
2020 - 2021,CAPITAL DISTRICT,ALBANY,10,03/13/2021,0,5-17
2020 - 2021,CAPITAL DISTRICT,ALBANY,10,03/13/2021,0,18-49
2020 - 2021,CAPITAL DISTRICT,ALBANY,10,03/13/2021,0,50-64
2020 - 2021,CAPITAL DISTRICT,ALBANY,10,03/13/2021,0,65+
2020 - 2021,CAPITAL DISTRICT,ALBANY,11,03/20/2021,0,0-4
2020 - 2021,CAPITAL DISTRICT,ALBANY,11,03/20/2021,0,5-17
2020 - 2021,CAPITAL DISTRICT,ALBANY,11,03/20/2021,0,18-49
2020 - 2021,CAPITAL DISTRICT,ALBANY,11,03/20/2021,0,50-64
2020 - 2021,CAPITAL DISTRICT,ALBANY,11,03/20/2021,0,65+
2020 - 2021,CAPITAL DISTRICT,ALBANY,12,03/27/2021,0,0-4
2020 - 2021,CAPITAL DISTRICT,ALBANY,12,03/27/2021,0,5-17
2020 - 2021,CAPITAL DISTRICT,ALBANY,12,03/27/2021,0,18-49
2020 - 2021,CAPITAL DISTRICT,ALBANY,12,03/27/2021,0,50-64
2020 - 2021,CAPITAL DISTRICT,ALBANY,12,03/27/2021,0,65+
2020 - 2021,CAPITAL DISTRICT,ALBANY,13,04/03/2021,0,0-4
2020 - 2021,CAPITAL DISTRICT,ALBANY,13,04/03/2021,0,5-17
2020 - 2021,CAPITAL DISTRICT,ALBANY,13,04/03/2021,0,18-49
2020 - 2021,CAPITAL DISTRICT,ALBANY,13,04/03/2021,0,50-64
2020 - 2021,CAPITAL DISTRICT,ALBANY,13,04/03/2021,0,65+
2020 - 2021,CAPITAL DISTRICT,ALBANY,14,04/10/2021,0,0-4
2020 - 2021,CAPITAL DISTRICT,ALBANY,14,04/10/2021,0,5-17
2020 - 2021,CAPITAL DISTRICT,ALBANY,14,04/10/2021,0,18-49
2020 - 2021,CAPITAL DISTRICT,ALBANY,14,04/10/2021,0,50-64
2020 - 2021,CAPITAL DISTRICT,ALBANY,14,04/10/2021,0,65+
2020 - 2021,CAPITAL DISTRICT,ALBANY,15,04/17/2021,0,0-4
2020 - 2021,CAPITAL DISTRICT,ALBANY,15,04/17/2021,0,5-17
2020 - 2021,CAPITAL DISTRICT,ALBANY,15,04/17/2021,0,18-49
2020 - 2021,CAPITAL DISTRICT,ALBANY,15,04/17/2021,0,50-64
2020 - 2021,CAPITAL DISTRICT,ALBANY,15,04/17/2021,0,65+
2020 - 2021,CAPITAL DISTRICT,ALBANY,16,04/24/2021,0,0-4
2020 - 2021,CAPITAL DISTRICT,ALBANY,16,04/24/2021,0,5-17
2020 - 2021,CAPITAL DISTRICT,ALBANY,16,04/24/2021,0,18-49
2020 - 2021,CAPITAL DISTRICT,ALBANY,16,04/24/2021,0,50-64
2020 - 2021,CAPITAL DISTRICT,ALBANY,16,04/24/2021,0,65+
2020 - 2021,CAPITAL DISTRICT,ALBANY,17,05/01/2021,0,0-4
2020 - 2021,CAPITAL DISTRICT,ALBANY,17,05/01/2021,0,5-17
2020 - 2021,CAPITAL DISTRICT,ALBANY,17,05/01/2021,0,18-49
2020 - 2021,CAPITAL DISTRICT,ALBANY,17,05/01/2021,0,50-64
2020 - 2021,CAPITAL DISTRICT,ALBANY,17,05/01/2021,0,65+
2020 - 2021,CAPITAL DISTRICT,ALBANY,18,05/08/2021,0,0-4
2020 - 2021,CAPITAL DISTRICT,ALBANY,18,05/08/2021,0,5-17
2020 - 2021,CAPITAL DISTRICT,ALBANY,18,05/08/2021,0,18-49
2020 - 2021,CAPITAL DISTRICT,ALBANY,18,05/08/2021,0,50-64
2020 - 2021,CAPITAL DISTRICT,ALBANY,18,05/08/2021,0,65+
2020 - 2021,CAPITAL DISTRICT,ALBANY,19,05/15/2021,0,0-4
2020 - 2021,CAPITAL DISTRICT,ALBANY,19,05/15/2021,0,5-17
2020 - 2021,CAPITAL DISTRICT,ALBANY,19,05/15/2021,0,18-49
2020 - 2021,CAPITAL DISTRICT,ALBANY,19,05/15/2021,0,50-64
2020 - 2021,CAPITAL DISTRICT,ALBANY,19,05/15/2021,1,65+
2020 - 2021,CAPITAL DISTRICT,ALBANY,20,05/22/2021,0,0-4
2020 - 2021,CAPITAL DISTRICT,ALBANY,20,05/22/2021,0,5-17
2020 - 2021,CAPITAL DISTRICT,ALBANY,20,05/22/2021,0,18-49
2020 - 2021,CAPITAL DISTRICT,ALBANY,20,05/22/2021,0,50-64
2020 - 2021,CAPITAL DISTRICT,ALBANY,20,05/22/2021,0,65+
2020 - 2021,CAPITAL DISTRICT,CLINTON,41,10/10/2020,0,0-4
2020 - 2021,CAPITAL DISTRICT,CLINTON,41,10/10/2020,0,5-17
2020 - 2021,CAPITAL DISTRICT,CLINTON,41,10/10/2020,0,18-49
2020 - 2021,CAPITAL DISTRICT,CLINTON,41,10/10/2020,0,50-64
2020 - 2021,CAPITAL DISTRICT,CLINTON,41,10/10/2020,0,65+
2020 - 2021,CAPITAL DISTRICT,CLINTON,42,10/17/2020,0,0-4
2020 - 2021,CAPITAL DISTRICT,CLINTON,42,10/17/2020,0,5-17
2020 - 2021,CAPITAL DISTRICT,CLINTON,42,10/17/2020,0,18-49
2020 - 2021,CAPITAL DISTRICT,CLINTON,42,10/17/2020,0,50-64
2020 - 2021,CAPITAL DISTRICT,CLINTON,42,10/17/2020,0,65+
2020 - 2021,CAPITAL DISTRICT,CLINTON,43,10/24/2020,0,0-4
2020 - 2021,CAPITAL DISTRICT,CLINTON,43,10/24/2020,0,5-17
2020 - 2021,CAPITAL DISTRICT,CLINTON,43,10/24/2020,0,18-49
2020 - 2021,CAPITAL DISTRICT,CLINTON,43,10/24/2020,0,50-64
2020 - 2021,CAPITAL DISTRICT,CLINTON,43,10/24/2020,0,65+
2020 - 2021,CAPITAL DISTRICT,CLINTON,44,10/31/2020,0,0-4
2020 - 2021,CAPITAL DISTRICT,CLINTON,44,10/31/2020,0,5-17
2020 - 2021,CAPITAL DISTRICT,CLINTON,44,10/31/2020,0,18-49
2020 - 2021,CAPITAL DISTRICT,CLINTON,44,10/31/2020,0,50-64
2020 - 2021,CAPITAL DISTRICT,CLINTON,44,10/31/2020,0,65+
2020 - 2021,CAPITAL DISTRICT,CLINTON,45,11/07/2020,0,0-4
2020 - 2021,CAPITAL DISTRICT,CLINTON,45,11/07/2020,0,5-17
2020 - 2021,CAPITAL DISTRICT,CLINTON,45,11/07/2020,0,18-49
2020 - 2021,CAPITAL DISTRICT,CLINTON,45,11/07/2020,0,50-64
2020 - 2021,CAPITAL DISTRICT,CLINTON,45,11/07/2020,0,65+
2020 - 2021,CAPITAL DISTRICT,CLINTON,46,11/14/2020,0,0-4
2020 - 2021,CAPITAL DISTRICT,CLINTON,46,11/14/2020,0,5-17
2020 - 2021,CAPITAL DISTRICT,CLINTON,46,11/14/2020,0,18-49
2020 - 2021,CAPITAL DISTRICT,CLINTON,46,11/14/2020,0,50-64
2020 - 2021,CAPITAL DISTRICT,CLINTON,46,11/14/2020,0,65+
2020 - 2021,CAPITAL DISTRICT,CLINTON,47,11/21/2020,0,0-4
2020 - 2021,CAPITAL DISTRICT,CLINTON,47,11/21/2020,0,5-17
2020 - 2021,CAPITAL DISTRICT,CLINTON,47,11/21/2020,0,18-49
2020 - 2021,CAPITAL DISTRICT,CLINTON,47,11/21/2020,0,50-64
2020 - 2021,CAPITAL DISTRICT,CLINTON,47,11/21/2020,0,65+
2020 - 2021,CAPITAL DISTRICT,CLINTON,48,11/28/2020,0,0-4
2020 - 2021,CAPITAL DISTRICT,CLINTON,48,11/28/2020,0,5-17
2020 - 2021,CAPITAL DISTRICT,CLINTON,48,11/28/2020,0,18-49
2020 - 2021,CAPITAL DISTRICT,CLINTON,48,11/28/2020,0,50-64
2020 - 2021,CAPITAL DISTRICT,CLINTON,48,11/28/2020,0,65+
2020 - 2021,CAPITAL DISTRICT,CLINTON,49,12/05/2020,0,0-4
2020 - 2021,CAPITAL DISTRICT,CLINTON,49,12/05/2020,0,5-17
2020 - 2021,CAPITAL DISTRICT,CLINTON,49,12/05/2020,0,18-49
2020 - 2021,CAPITAL DISTRICT,CLINTON,49,12/05/2020,0,50-64
2020 - 2021,CAPITAL DISTRICT,CLINTON,49,12/05/2020,0,65+
2020 - 2021,CAPITAL DISTRICT,CLINTON,50,12/12/2020,0,0-4
2020 - 2021,CAPITAL DISTRICT,CLINTON,50,12/12/2020,0,5-17
2020 - 2021,CAPITAL DISTRICT,CLINTON,50,12/12/2020,0,18-49
2020 - 2021,CAPITAL DISTRICT,CLINTON,50,12/12/2020,0,50-64
2020 - 2021,CAPITAL DISTRICT,CLINTON,50,12/12/2020,0,65+
2020 - 2021,CAPITAL DISTRICT,CLINTON,51,12/19/2020,0,0-4
2020 - 2021,CAPITAL DISTRICT,CLINTON,51,12/19/2020,0,5-17
2020 - 2021,CAPITAL DISTRICT,CLINTON,51,12/19/2020,0,18-49
2020 - 2021,CAPITAL DISTRICT,CLINTON,51,12/19/2020,0,50-64
2020 - 2021,CAPITAL DISTRICT,CLINTON,51,12/19/2020,0,65+
2020 - 2021,CAPITAL DISTRICT,CLINTON,52,12/26/2020,0,0-4
2020 - 2021,CAPITAL DISTRICT,CLINTON,52,12/26/2020,0,5-17
2020 - 2021,CAPITAL DISTRICT,CLINTON,52,12/26/2020,0,18-49
2020 - 2021,CAPITAL DISTRICT,CLINTON,52,12/26/2020,0,50-64
2020 - 2021,CAPITAL DISTRICT,CLINTON,52,12/26/2020,0,65+
2020 - 2021,CAPITAL DISTRICT,CLINTON,53,01/02/2021,0,0-4
2020 - 2021,CAPITAL DISTRICT,CLINTON,53,01/02/2021,0,5-17
2020 - 2021,CAPITAL DISTRICT,CLINTON,53,01/02/2021,0,18-49
2020 - 2021,CAPITAL DISTRICT,CLINTON,53,01/02/2021,0,50-64
2020 - 2021,CAPITAL DISTRICT,CLINTON,53,01/02/2021,0,65+
2020 - 2021,CAPITAL DISTRICT,CLINTON,1,01/09/2021,0,0-4
2020 - 2021,CAPITAL DISTRICT,CLINTON,1,01/09/2021,0,5-17
2020 - 2021,CAPITAL DISTRICT,CLINTON,1,01/09/2021,0,18-49
2020 - 2021,CAPITAL DISTRICT,CLINTON,1,01/09/2021,0,50-64
2020 - 2021,CAPITAL DISTRICT,CLINTON,1,01/09/2021,0,65+
2020 - 2021,CAPITAL DISTRICT,CLINTON,2,01/16/2021,0,0-4
2020 - 2021,CAPITAL DISTRICT,CLINTON,2,01/16/2021,0,5-17
2020 - 2021,CAPITAL DISTRICT,CLINTON,2,01/16/2021,0,18-49
2020 - 2021,CAPITAL DISTRICT,CLINTON,2,01/16/2021,0,50-64
2020 - 2021,CAPITAL DISTRICT,CLINTON,2,01/16/2021,0,65+
2020 - 2021,CAPITAL DISTRICT,CLINTON,3,01/23/2021,0,0-4
2020 - 2021,CAPITAL DISTRICT,CLINTON,3,01/23/2021,0,5-17
2020 - 2021,CAPITAL DISTRICT,CLINTON,3,01/23/2021,0,18-49
2020 - 2021,CAPITAL DISTRICT,CLINTON,3,01/23/2021,0,50-64
2020 - 2021,CAPITAL DISTRICT,CLINTON,3,01/23/2021,0,65+
2020 - 2021,CAPITAL DISTRICT,CLINTON,4,01/30/2021,0,0-4
2020 - 2021,CAPITAL DISTRICT,CLINTON,4,01/30/2021,0,5-17
2020 - 2021,CAPITAL DISTRICT,CLINTON,4,01/30/2021,0,18-49
2020 - 2021,CAPITAL DISTRICT,CLINTON,4,01/30/2021,0,50-64
2020 - 2021,CAPITAL DISTRICT,CLINTON,4,01/30/2021,0,65+
2020 - 2021,CAPITAL DISTRICT,CLINTON,5,02/06/2021,0,0-4
2020 - 2021,CAPITAL DISTRICT,CLINTON,5,02/06/2021,0,5-17
2020 - 2021,CAPITAL DISTRICT,CLINTON,5,02/06/2021,0,18-49
2020 - 2021,CAPITAL DISTRICT,CLINTON,5,02/06/2021,0,50-64
2020 - 2021,CAPITAL DISTRICT,CLINTON,5,02/06/2021,0,65+
2020 - 2021,CAPITAL DISTRICT,CLINTON,6,02/13/2021,0,0-4
2020 - 2021,CAPITAL DISTRICT,CLINTON,6,02/13/2021,0,5-17
2020 - 2021,CAPITAL DISTRICT,CLINTON,6,02/13/2021,0,18-49
2020 - 2021,CAPITAL DISTRICT,CLINTON,6,02/13/2021,0,50-64
2020 - 2021,CAPITAL DISTRICT,CLINTON,6,02/13/2021,0,65+
2020 - 2021,CAPITAL DISTRICT,CLINTON,7,02/20/2021,0,0-4
2020 - 2021,CAPITAL DISTRICT,CLINTON,7,02/20/2021,0,5-17
